DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,FR,2020-S1,1.103,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,FR,2021-S1,1.112,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,FR,2022-S1,1.077,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HR,2019-S1,4.974,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HR,2020-S1,5.054,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HR,2021-S1,5.173,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HR,2022-S1,5.262,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HU,2019-S1,207.2,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HU,2020-S1,213.6,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HU,2021-S1,223.3,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,HU,2022-S1,232,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IE,2019-S1,1.233,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IE,2020-S1,1.207,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IE,2021-S1,1.254,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IE,2022-S1,1.29,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IT,2019-S1,0.955,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IT,2020-S1,0.962,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IT,2021-S1,0.971,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,IT,2022-S1,0.941,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LT,2019-S1,0.677,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LT,2020-S1,0.687,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LT,2021-S1,0.702,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LT,2022-S1,0.766,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LU,2019-S1,1,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LU,2020-S1,1,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LU,2021-S1,1,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LU,2022-S1,1,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LV,2019-S1,0.731,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LV,2020-S1,0.723,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LV,2021-S1,0.746,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,LV,2022-S1,0.809,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,MT,2019-S1,0.953,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,MT,2020-S1,0.979,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,MT,2021-S1,0.99,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,MT,2022-S1,0.947,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,NL,2019-S1,1.113,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,NL,2020-S1,1.116,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,NL,2021-S1,1.113,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,NL,2022-S1,1.107,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,PL,2019-S1,2.584,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,PL,2020-S1,2.727,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,PL,2021-S1,2.772,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,PL,2022-S1,2.907,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,PT,2019-S1,0.867,
